data_year,period,period_label,metric,dim_value_canon,scope,unit,from_report_id,from_value,to_report_id,to_value,delta,delta_pct,is_latest_step,n_vintages
2023,FY,2023,funding_by_vertical_size,artificial_intelligence,all,usd,2023,36100000.0,2024,39300000.0,3.2e+06,8.86,FALSE,5
2022,FY,2022,funding_by_vertical_count,fintech,all,count,2022,34.0,2023,37.0,3,8.82,FALSE,5
2023,FY,2023,funding_by_vertical_count,saas,all,count,2023,34.0,2024,37.0,3,8.82,FALSE,4
2020,FY,2020,funding_by_vertical_size,saas,all,usd,2020,50000000.0,2023,54200000.0,4.2e+06,8.40,FALSE,4
2023,FY,2023,funding_by_vertical_size,gaming,all,usd,2024,32400000.0,2025,35100000.0,2.7e+06,8.33,FALSE,5
2023,FY,2023,funding_by_vertical_size,saas,all,usd,2023,40900000.0,2024,44300000.0,3.4e+06,8.31,FALSE,5
2025,FY,2025,funding_by_vertical_count,fintech,all,count,2025,39.0,2026q2,42.0,3,7.69,TRUE,2
2021,FY,2021,funding_by_vertical_size,fintech,all,usd,2021,64000000.0,2023,68900000.0,4.9e+06,7.66,FALSE,6
2021,FY,2021,funding_by_vertical_size,artificial_intelligence,all,usd,2023,19100000.0,2024,20500000.0,1.4e+06,7.33,FALSE,6
2022,FY,2022,funding_by_vertical_count,gaming,all,count,2024,28.0,2025,30.0,2,7.14,FALSE,5
2022,FY,2022,funding_by_vertical_count,internet_of_things,all,count,2023,14.0,2024,15.0,1,7.14,TRUE,2
2025,FY,2025,funding_by_vertical_count,deeptech,all,count,2025,14.0,2026q2,15.0,1,7.14,TRUE,2
2019,FY,2019,funding_by_vertical_size,artificial_intelligence,all,usd,2019,5800000.0,2023,5400000.0,-400000,-6.90,FALSE,3
2020,FY,2020,funding_by_vertical_count,healthtech,all,count,2020,15.0,2023,16.0,1,6.67,FALSE,4
2023,FY,2023,funding_by_vertical_count,sustainability,all,count,2024,15.0,2025,16.0,1,6.67,FALSE,3
2021,FY,2021,funding_by_vertical_count,deeptech,all,count,2021,31.0,2023,33.0,2,6.45,FALSE,4
2023,FY,2023,funding_by_vertical_count,gaming,all,count,2024,47.0,2025,50.0,3,6.38,FALSE,4
2024,FY,2024,total_deal_count,,ex_getir_bigg,count,2024,237.0,2025,252.0,15,6.33,FALSE,3
